Timestamp,Operation,Duration(s),CPU(%),Memory(MB)
2025-04-28 17:00:53.034920,Read-Intensive,0.002490997314453125,19.1,5792.34375
2025-04-28 17:00:54.103093,Write-Intensive,0.0617830753326416,13.7,5836.8125
2025-04-28 17:00:55.122143,Indexing,0.015420913696289062,7.4,5844.875
2025-04-28 17:00:56.133000,Aggregation,0.00925898551940918,10.0,5849.765625
2025-04-28 17:00:57.180962,Mixed,0.04193902015686035,5.9,5856.8125
