Timestamp,Operation,Duration(s),CPU(%),Memory(MB)
2025-04-28 16:01:51.317590,Read-Intensive,0.002507925033569336,3.4,6387.5625
2025-04-28 16:01:52.346498,Write-Intensive,0.022615909576416016,8.1,6371.1875
2025-04-28 16:01:53.354949,Indexing,0.0019838809967041016,5.0,6370.421875
2025-04-28 16:01:54.390039,Aggregation,0.028688907623291016,3.0,6357.71875
2025-04-28 16:01:55.497091,Mixed,0.10091805458068848,2.5,6354.453125
